distance,attempts,successes
0.28,45198.0,45183.0
0.97,183020.0,182899.0
1.93,169503.0,168594.0
2.92,113094.0,108953.0
3.93,73855.0,64740.0
4.94,53659.0,41106.0
5.94,42991.0,28205.0
6.95,37050.0,21334.0
7.95,33275.0,16615.0
8.95,30836.0,13503.0
9.95,28637.0,11060.0
10.95,26239.0,9032.0
11.95,24636.0,7687.0
12.95,22876.0,6432.0
14.43,41267.0,9813.0
16.43,35712.0,7196.0
18.44,31573.0,5290.0
20.44,28280.0,4086.0
21.95,13238.0,1642.0
24.39,46570.0,4767.0
28.4,38422.0,2980.0
32.39,31641.0,1996.0
36.39,25604.0,1327.0
40.37,20366.0,834.0
44.38,15977.0,559.0
48.37,11770.0,311.0
52.36,8708.0,231.0
57.25,8878.0,204.0
63.23,5492.0,103.0
69.18,3087.0,35.0
75.19,1742.0,24.0
